From Type,Source,Edge,Target,Weight,starting date,ending date
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,"ZARPH, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,"CHANGING EXPERIENCE, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,1,2015,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,Investment,"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,"TREAT U, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,"PEEK HEALTH, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,"PERCEIVE3D, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,"CBRA GENOMICS, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,"IMMUNETHEP, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,"LUZITIN, S.A.",1,2011,
Venture Capital Funds,FCR Portugal Ventures Biocant,Investment,GENE PREDIT S.A.,1,2012,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"SMARTGEO, SOLUTIONS, LDA",1,2013,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"POWER DATA, LDA",1,2013,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"POWERGRID, LDA",1,2011,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"RADICAL INNOVATION, LDA",1,2013,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",1,2014,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"CITY PULSE, LDA",1,2014,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"BRIGHT INNOVATION, LDA",1,2012,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"DTV RESEARCH, UNIPESSOAL LDA",1,2012,2014
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,Investment,"LIVIAN TECHNOLOGIES, LDA",1,2014,
Venture Capital Funds,FCR Critical Ventures I,Investment,"RETMARKER, S.A.",1,2011,
Venture Capital Funds,FCR Critical Ventures I,Investment,"BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.",1,2014,
Venture Capital Funds,FCR Critical Ventures I,Investment,"CBRA GENOMICS, S.A.",1,2013,
Venture Capital Funds,FCR Critical Ventures I,Investment,"CRITICAL MATERIALS, S.A.",1,2011,
Venture Capital Funds,FCR Portugal Ventures Valor,Investment,BIOSURFIT S.A.,1,2006,
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados PME Investimentos­ TIEC,Investment,BIOSURFIT S.A.,1,2004,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"UNBABEL, INC.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"PASSWORKS, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"QAMINE PORTUGAL, S.A",1,2013,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,QAMINE LIMITED,1,2015,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"YOUNGSTORIES, S.A.",1,2013,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"CHIC BY CHOICE, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"ALTURA PUBLISHING, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"LIQUID DATA INTELLIGENCE, S.A.",1,2014,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"GLEAM, S.A.",1,2013,
Targeted companies (startups),"FABER VENTURES, S.A.",Investment,"GETSOCIAL, S.A.",1,2013,
Targeted companies (startups),ALFAMA INC.,Investment,ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,1,2013,2014
Venture Capital Funds,FCR FAI Energias,Investment,"WINDPLUS, S.A.",1,2009,
Venture Capital Funds,PME Investimentos – Sociedade de Investimento S.A.,Management entity (or controlling entity),Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),1,2003,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures,Investment,"MAGNOMICS, S.A.",1,2014,2014
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures,Investment,"MAGNOMICS, S.A.",1,1993,2014
Venture Capital Funds,Oxy Capital Fundo Mezzanine,Investment,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures,Investment,"PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.",1,2014,
Venture Capital Funds,FCR Revitalizar Norte,Investment,NMUSIC S.A.,1,2013,
Venture Capital Funds,FCR ESV III,Investment,SafetyPay,1,2008,
Venture Capital Funds,FCR ESV III,Investment,Spectrum Bridge,1,2008,
Venture Capital Funds,FCR ESV III,Investment,Ubiquity Global Services,1,2012,
Venture Capital Funds,FCR ESV III,Investment,"NUTRIGREEN, S.A.",1,2009,
Venture Capital Funds,FCR ESV III,Investment,Petra Systems,1,2010,
Venture Capital Funds,FCR ESV III,Investment,"QAMINE PORTUGAL, S.A",1,2013,
Venture Capital Funds,FCR ESV III,Investment,Watson Brown,1,2008,
Venture Capital Funds,FCR ESV III,Investment,"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",1,2011,
Venture Capital Funds,FCR ESV III,Investment,Current,1,2011,2013
Venture Capital Funds,FCR ESV III,Investment,A123Systems,1,2009,2012
Venture Capital Funds,FCR ESV III,Investment,"ADVANCED CYCLONE SYSTEMS, S.A.",1,2009,
Venture Capital Funds,FCR ESV III,Investment,JDCPhosphate,1,2012,
Venture Capital Funds,FCR ESV III,Investment,"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ESV III,Investment,"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ESV III,Investment,"MUZZLEY, S.A.",1,2012,
Venture Capital Funds,FCR ESV III,Investment,MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,1,2011,
Venture Capital Funds,FCR Fast Change II,Investment,STREAMBOLICO S.A.,1,2013,
Venture Capital Funds,FCR Fast Change II,Investment,"SWORD HEALTH, S.A",1,2014,
Venture Capital Funds,FCR Fast Change II,Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change II,Investment,"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change II,Investment,"CONVERDE, S.A.",1,2012,
Venture Capital Funds,FCR Fast Change II,Investment,"5ENSESINFOOD, S.A.",1,2013,
Venture Capital Funds,FCR Fast Change II,Investment,"BIOMODE 2, S.A.",1,2014,
Venture Capital Funds,FCR Fast Change II,Investment,"EXOGENUS THERAPEUTICS, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Investment,"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Investment,"BRIGHTWIZARD, S.A",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Investment,"BICA STUDIOS, S.A.",1,2015,
Venture Capital Funds,FCR Empreender Mais,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Venture Capital Funds,FCR Empreender Mais,Investment,STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
Venture Capital Funds,FCR Empreender Mais,Investment,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",1,2011,2015
Venture Capital Funds,FCR Empreender Mais,Investment,"CHANGING EXPERIENCE, S.A.",1,2013,
Venture Capital Funds,FCR Empreender Mais,Investment,BIOSURFIT S.A.,1,2006,
Venture Capital Funds,FCR Empreender Mais,Investment,"MOVVO, S.A.",1,2011,
Venture Capital Funds,FCR Empreender Mais,Investment,"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,Investment,"PLUX - WIRELESS BIOSIGNALS, S.A.",1,2011,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,Investment,"CHANGING EXPERIENCE, S.A.",1,2013,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,Investment,"BIOMIMETX,S.A.",1,2015,
Venture Capital Funds,FCR Beta Early Stages,Investment,"CRIVO INVESTIGAÇÃO APLICADA, S.A.",1,2008,
Venture Capital Funds,FCR Beta Early Stages,Investment,BIOSURFIT S.A.,1,2006,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME ­IAPMEI,Investment,BIOSURFIT S.A.,1,2006,
Venture Capital Funds,FCR Capital Criativo I,Investment,"USC INTERNACIONAL, S.A.",1,2011,
Venture Capital Funds,FCR Capital Criativo I,Investment,"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",1,2013,
Venture Capital Funds,FCR Capital Criativo I,Investment,E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,1,2014,
Venture Capital Funds,FCR Capital Criativo I,Investment,"CORTEX INTELLIGENCE TECNOLOGIA, LDA",1,2012,
Venture Capital Funds,FCR Capital Criativo I,Investment,BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,1,2014,
Venture Capital Funds,FCR Capital Criativo I,Investment,LIVE CONTENT S.A,1,2011,2014
Venture Capital Funds,FCR Capital Criativo I,Investment,"ISA - INTELLIGENT SENSING ANYWHERE, S.A.",1,2011,
Venture Capital Funds,FCR Capital Criativo I,Investment,"GO BIZ, VIAGENS E TURISMO, S.A.",1,2012,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"SAKPROJECT INTERNATIONAL, S.A",1,2012,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"STOCK BEATS, S.A.",1,2014,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.",1,2011,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",1,2013,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",1,2012,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,Investment,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,
Venture Capital Funds,Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,Investment,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Venture Capital Funds,Fundo de Capital de Risco AICEP Capital Global III,Investment,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Investment,"BGUESTNOW, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Investment,"INDIE CAMPERS, S.A.",1,2015,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Investment,"EXCITING SPACE, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,STREAMBOLICO S.A.,1,2013,
