From Type,Source,Edge,Target,Weight,starting date,ending date
Other,PME Investimentos – Sociedade de Investimento S.A.,Management entity (or controlling entity),Fundo de Capital de Risco para Investidores Qualificados PME Investimentos­ TIEC,1,2004,
Other,PME Investimentos – Sociedade de Investimento S.A.,Management entity (or controlling entity),FINOVA - Fundo de Apoio ao Financiamento à Inovação,1,2008,
Other,Y Combinator,Investment,"UNBABEL, INC.",1,2014,
Other,Klaus von Sayn-Wittgenstein,Investment,"UNBABEL, INC.",1,2014,
Other,Undisclosure Angel Investment,Investment,QAMINE LIMITED,1,2015,
Other,Henrique de Castro,Investment,QAMINE LIMITED,1,2015,
Other,Docentes FCUL,Investment,"SCIENCE4YOU, S.A.",1,2012,
Limited Partners (LPs)/SCR´s - Outside PT,Pathena SICAR,Investment,"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Pathena SICAR,Investment,"IMOBILEMAGIC - MOBILE EXPERIENCES, LDA",1,2010,
Limited Partners (LPs)/SCR´s - Outside PT,Pathena SICAR,Investment,"EXAGO VENTURES, S.A.",1,2010,
Limited Partners (LPs)/SCR´s - Outside PT,Gobi Partners,Investment,"APTOIDE, S.A.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Oak HC/FT,Investment,"FEEDZAI, INC.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,e.ventures,Investment,"APTOIDE, S.A.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Golden Gate Ventures,Investment,"APTOIDE, S.A.",1,2013,
Other,"PRINCIPLE POWER, INC.",Investment,"WINDPLUS, S.A.",1,2009,
Other,"Leadership Business Technology, S.A.",Investment,"YD YNVISIBLE, S.A.",1,2013,
Other,Alex Chesterman,Investment,UNIPLACES LIMITED,1,2013,
Other,Alex Chesterman,Investment,"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",1,2012,
Other,William Reeve,Investment,UNIPLACES LIMITED,1,2013,
Other,William Reeve,Investment,"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",1,2012,
Other,Rob McClatchey,Investment,UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,MERMAID INVESTMENTS B.V.,Investment,"TURFLYNX, LDA",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Google Ventures,Investment,"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Amino Capital,Investment,"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,North Bridge Venture Partners & Growth Equity,Investment,"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Limited Partners (LPs)/SCR´s - Outside PT,PORTUGAL VENTURE CAPITAL INITIATIVE SICAV,VC Fundraising,Pathena SICAR,1,2012,
Limited Partners (LPs)/SCR´s - Outside PT,Join Capital,Investment,QAMINE LIMITED,1,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Global Accelerator Year 3 B.V,Investment,MORNING HEROES S.A.,1,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Plopper B.V.,Investment,MORNING HEROES S.A.,1,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Capital One Growth Ventures,Investment,"FEEDZAI, INC.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Sapphire Ventures,Investment,"FEEDZAI, INC.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Data Collective,Investment,"FEEDZAI, INC.",1,2013,
Limited Partners (LPs)/SCR´s - Outside PT,Wefunder,Investment,"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Matrix Partners,Investment,"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,FundersClub,Investment,"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Hovione Capital, SCR S.A.",Investment,"LASERLEAP TECHNOLOGIES,S.A.",1,2013,
Other,BIOCANT ­ ASSOCIAÇÃO DE TRANSFERÊNCIA DE TECNOLOGIA,Investment,"CELL2B - ADVANCED THERAPEUTICS, S.A.",1,2012,
Other,BIOCANT ­ ASSOCIAÇÃO DE TRANSFERÊNCIA DE TECNOLOGIA,Investment,"CBRA GENOMICS, S.A.",1,2013,
Other,BIOCANT ­ ASSOCIAÇÃO DE TRANSFERÊNCIA DE TECNOLOGIA,Investment,"MATERA, LDA",1,2011,
Other,Indexignition - Investimentos e Consultoria Lda,Investment,"AMANHÃ GLOBAL, S.A.",1,2014,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR ISTART I,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Novabase Inovação e Internacionalização,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Minho Inovação e Internacionalização,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR ESV Inovação & Internacionalização,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Fast Change II,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Capital Criativo I,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR ASK Celta,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR ASK Capital,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Beta Ciências da Vida,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Revitalizar Norte,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Revitalizar Centro,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures Turismo Inovação,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures Internacionalização,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures Early Stages,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures Indústrias Criativas,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR PME / Novo Banco,1,2013,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures Biocant,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Portugal Ventures ACTEC II,1,2011,
Other,FINOVA - Fundo de Apoio ao Financiamento à Inovação,VC Fundraising,FCR Critical Ventures I,1,2011,
Limited Partners (LPs)/SCR´s,Oxy Capital - SCR. S.A.,Management entity (or controlling entity),Oxy Capital Fundo Mezzanine,1,2014,
Limited Partners (LPs)/SCR´s,Oxy Capital - SCR. S.A.,Management entity (or controlling entity),FCR Revitalizar Centro,1,2013,
Limited Partners (LPs)/SCR´s,"BANIF CAPITAL - SOCIEDADE DE CAPITAL DE RISCO, SA",VC Fundraising,Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),1,2003,2014
Limited Partners (LPs)/SCR´s,"BANIF CAPITAL - SOCIEDADE DE CAPITAL DE RISCO, SA",Management entity (or controlling entity),Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),1,2003,2014
Limited Partners (LPs)/SCR´s,Explorer Investments SCR S.A.,Management entity (or controlling entity),FCR Revitalizar Norte,1,2013,
Limited Partners (LPs)/SCR´s,"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",Investment,"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",Investment,"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",1,2006,
Other,IAPMEI,VC Fundraising,FCR Novabase Capital,1,2005,
Other,IAPMEI,VC Fundraising,FCR Fast Change,1,2003,
Other,IAPMEI,VC Fundraising,FCR Portugal Ventures Finicia,1,2007,
Other,IAPMEI,VC Fundraising,FCR Portugal Global Ventures,1,2005,
Other,IAPMEI,VC Fundraising,FCR PME / Novo Banco,1,1997,
Other,IAPMEI,Management entity (or controlling entity),PME Investimentos – Sociedade de Investimento S.A.,1,1998,
Other,Região Autonoma dos Açores,VC Fundraising,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,1,2011,
Other,Turismo de Portugal,VC Fundraising,FCR Portugal Ventures Turismo Inovação,1,2011,
Other,ANJE,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Other,Ass. p/Desenvolvimento e Investigação de Viseu,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Other,Safeinterest,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Other,Unknown,VC Fundraising,FCR Fast Change II,1,2011,
Other,Unknown,VC Fundraising,FCR F-HITEC,1,2008,
Other,Unknown,VC Fundraising,FCR Capital Criativo I,1,2011,
Other,Unknown,VC Fundraising,FCR ASK Capital,1,2011,
Other,Unknown,VC Fundraising,FCR Beta Ciências da Vida,1,2011,
Other,Unknown,VC Fundraising,FCR ASK Celta,1,2011,
Other,Unknown,VC Fundraising,FCR Beta Early Stages,1,2005,2014
Other,Unknown,VC Fundraising,Fundo de Capital de Risco Portugal Ventures Global 2,1,2015,
Other,Unknown,VC Fundraising,Pathena SICAR,1,2012,
Other,Unknown,VC Fundraising,FCR Portugal Ventures Internacionalização,1,2011,
Other,Unknown,VC Fundraising,FCR Portugal Ventures Turismo Inovação,1,2011,
Other,Unknown,VC Fundraising,FCR Portugal Ventures Biocant,1,2011,
Other,Unknown,VC Fundraising,FCR Critical Ventures I,1,2011,
Other,Fundação Luso Americana para o Desenvolvimento (“FLAD”),VC Fundraising,FCR Beta Early Stages,1,2005,2014
Other,AEP - Associação Empresarial de Portugal (ou entidade por si dominada),VC Fundraising,FCR Beta Early Stages,1,2005,2014
Other,"corporate investment arms, family trusts and private individuals",VC Fundraising,FCR ESV III,1,2009,2016
Other,"corporate investment arms, family trusts and private individuals",VC Fundraising,FCR ESV II,1,2006,
Other,F PENSOESSANTANDER,VC Fundraising,FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),FCR PV ACTEC,1,2006,
