From Type,From Name,Edge,To Type,To Name,Weight,starting date,ending date
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"UNBABEL, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),UNIPLACES LIMITED,1,2013,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"D-ORBIT PT, LDA",1,2014,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"ALLIS UBBO INFORMATION SYSTEMS, LDA",1,2015,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),Farfetch UK Limited,1,2005,
Limited Partners (LPs)/SCR´s,"Caixa Capital SCR, SA",Investment,Targeted companies (startups),"EXOGENUS THERAPEUTICS, S.A.",1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"FOLLOWPRICE, S.A.",1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"FOLLOW INSPIRATION, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),GENIBET BIOPHARMACEUTICALS S.A.,1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"GUESTCENTRIC SYSTEMS, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"MAGNOMICS, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),INVINE,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),BIOSURFIT S.A.,1,2004,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),BitSight Technologies,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"ABYSSAL, S.A.",1,2014,
