Source,Target,Type,id,label,timeset,weight,from type,edge,starting date,ending date
FCR Fast Change II,"BIOMODE 2, S.A.",Directed,179,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Fast Change II,"EXOGENUS THERAPEUTICS, S.A.",Directed,180,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
Fundo de Capital de Risco Portugal Ventures Global 2,"SCIENCE4YOU, S.A.",Directed,181,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
Fundo de Capital de Risco Portugal Ventures Global 2,"BRIGHTWIZARD, S.A",Directed,182,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
Fundo de Capital de Risco Portugal Ventures Global 2,"BICA STUDIOS, S.A.",Directed,183,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Empreender Mais,FCR Portugal Ventures Universitas,Directed,184,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,VC Fundraising,2011,
FCR Empreender Mais,STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,Directed,185,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Empreender Mais,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",Directed,186,,"<[2011.0, 2015.0]>",1.0,Venture Capital Funds,Investment,2011,2015
FCR Empreender Mais,"CHANGING EXPERIENCE, S.A.",Directed,187,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Empreender Mais,BIOSURFIT S.A.,Directed,188,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR Empreender Mais,"MOVVO, S.A.",Directed,189,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Empreender Mais,"GUESTCENTRIC SYSTEMS, S.A.",Directed,190,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR Caixa Tech Transfer Accelerator Ventures,"PLUX - WIRELESS BIOSIGNALS, S.A.",Directed,191,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Caixa Tech Transfer Accelerator Ventures,"CHANGING EXPERIENCE, S.A.",Directed,192,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Caixa Tech Transfer Accelerator Ventures,"BIOMIMETX,S.A.",Directed,193,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Beta Early Stages,"CRIVO INVESTIGAÇÃO APLICADA, S.A.",Directed,194,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR Beta Early Stages,BIOSURFIT S.A.,Directed,195,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
Fundo de Sindicação de Capital de Risco PME ­IAPMEI,BIOSURFIT S.A.,Directed,196,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR Capital Criativo I,"USC INTERNACIONAL, S.A.",Directed,197,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Capital Criativo I,"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",Directed,198,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Capital Criativo I,E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,Directed,199,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Capital Criativo I,"CORTEX INTELLIGENCE TECNOLOGIA, LDA",Directed,200,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Capital Criativo I,BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,Directed,201,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Capital Criativo I,LIVE CONTENT S.A,Directed,202,,"<[2011.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2011,2014
FCR Capital Criativo I,"ISA - INTELLIGENT SENSING ANYWHERE, S.A.",Directed,203,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Capital Criativo I,"GO BIZ, VIAGENS E TURISMO, S.A.",Directed,204,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV Inovação & Internacionalização,"SAKPROJECT INTERNATIONAL, S.A",Directed,205,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV Inovação & Internacionalização,"STOCK BEATS, S.A.",Directed,206,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ESV Inovação & Internacionalização,NUTRI VENTURES CORPORATION - NVC S.A.,Directed,207,,"<[2010.0, Infinity]>",1.0,Venture Capital Funds,Investment,2010,
FCR ESV Inovação & Internacionalização,"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.",Directed,208,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR ESV Inovação & Internacionalização,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",Directed,209,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR ESV Inovação & Internacionalização,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",Directed,210,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ESV Inovação & Internacionalização,"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",Directed,211,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV Inovação & Internacionalização,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",Directed,212,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",Directed,213,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
Fundo de Capital de Risco AICEP Capital Global III,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",Directed,214,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
Fundo de Capital de Risco Dinamização Turística,"BGUESTNOW, S.A.",Directed,215,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
Fundo de Capital de Risco Dinamização Turística,"INDIE CAMPERS, S.A.",Directed,216,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
Fundo de Capital de Risco Dinamização Turística,"EXCITING SPACE, S.A.",Directed,217,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Early Stages,STREAMBOLICO S.A.,Directed,218,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Early Stages,"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",Directed,219,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Early Stages,"YOUNGSTORIES, S.A.",Directed,220,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Early Stages,"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",Directed,221,,"<[2014.0, 2015.0]>",1.0,Venture Capital Funds,Investment,2014,2015
FCR Portugal Ventures Early Stages,"WEBANKOR, S.A.",Directed,222,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Early Stages,"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.",Directed,223,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Early Stages,"AMANHÃ GLOBAL, S.A.",Directed,224,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Early Stages,"LIQUID DATA INTELLIGENCE, S.A.",Directed,225,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Early Stages,MORNING HEROES S.A.,Directed,226,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Early Stages,"GREENFIBER TECH, S.A.",Directed,227,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Internacionalização,"SCIENCE4YOU, S.A.",Directed,228,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Portugal Ventures Internacionalização,"SHIFTFORWARD, S.A.",Directed,229,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Internacionalização,"TUIZZI, S.A.",Directed,230,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Internacionalização,NUTRI VENTURES CORPORATION - NVC S.A.,Directed,231,,"<[2010.0, Infinity]>",1.0,Venture Capital Funds,Investment,2010,
FCR Portugal Ventures Internacionalização,"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",Directed,232,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Internacionalização,"APTOIDE, S.A.",Directed,233,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Internacionalização,"BLOOMERS, S.A.",Directed,234,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Internacionalização,"BEYONDEVICES, S.A.",Directed,235,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Internacionalização,"JSCRAMBLER, S.A.",Directed,236,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Internacionalização,"KINEMATIX SENSE, S.A.",Directed,237,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR Portugal Ventures Internacionalização,"KINEMATIX SENSE, S.A.",Directed,238,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR Portugal Ventures Internacionalização,"KINEMATIX SENSE, S.A.",Directed,239,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR Portugal Ventures Internacionalização,"MOODOPTIC, S.A.",Directed,240,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Internacionalização,"EPEDAL, SGPS S.A.",Directed,241,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Internacionalização,"GRAPHENEST, S.A.",Directed,242,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Universitas,"PASSWORKS, S.A.",Directed,243,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Universitas,"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",Directed,244,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Universitas,"PEPFEED, S,A",Directed,245,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Universitas,"YOUNGSTORIES, S.A.",Directed,246,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Universitas,"APTOIDE, S.A.",Directed,247,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Universitas,"BABYBOOK, S.A.",Directed,248,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Universitas,"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.",Directed,249,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ESV II,"SOUSACAMP, SGPS S.A.",Directed,250,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR ESV II,Superbac,Directed,251,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR ESV II,Ultracell,Directed,252,,"<[2009.0, Infinity]>",1.0,Venture Capital Funds,Investment,2009,
FCR ESV II,TxVia,Directed,253,,"<[2009.0, 2012.0]>",1.0,Venture Capital Funds,Investment,2009,2012
FCR ESV II,Nanosolar,Directed,254,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR ESV II,Ophtalmopharma,Directed,255,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR ESV II,Oceanlinx,Directed,256,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR ESV II,"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",Directed,257,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR ESV II,Prepaid Media,Directed,258,,"<[2005.0, Infinity]>",1.0,Venture Capital Funds,Investment,2005,
FCR ESV II,"YDREAMS - INFORMÁTICA, S.A.",Directed,259,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR ESV II,"YD YNVISIBLE, S.A.",Directed,260,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ESV II,"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",Directed,261,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR ESV II,Atraverda,Directed,262,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR ESV II,AquaSpy,Directed,263,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR ESV II,"AUGRPUBLISHER, S.A",Directed,264,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ESV II,Iosil Energy,Directed,265,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ESV II,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",Directed,266,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ESV II,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",Directed,267,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR ESV II,"GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.",Directed,268,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,"ASINUS ATLANTICUS, S.A.",Directed,269,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ASK Celta,"TORBEL, S.A.",Directed,270,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ASK Celta,"PETAPILOT, S.A.",Directed,271,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR ASK Celta,"ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA",Directed,272,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR ASK Celta,"GUM CHEMICAL SOLUTIONS, S.A.",Directed,273,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR PV ACTEC,FCR Portugal Ventures ACTEC II,Directed,274,,"<[2011.0, 2014.0]>",1.0,Venture Capital Funds,VC Fundraising,2011,2014
FCR PV ACTEC,"OMNIFLOW, S.A",Directed,275,,"<[2012.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2012,2014
FCR PV ACTEC,PHARMA73 S.A.,Directed,276,,"<[2011.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2011,2014
FCR PV ACTEC,"XHOCKWARE, S.A.",Directed,277,,"<[2014.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2014,2014
FCR PV ACTEC,"ABYSSAL, S.A.",Directed,278,,"<[2012.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2012,2014
FCR PV ACTEC,"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",Directed,279,,"<[2011.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2011,2014
FCR PV ACTEC,"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",Directed,280,,"<[2013.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2013,2014
FCR Minho Inovação e Internacionalização,"SPHERE ULTRAFAST PHOTONICS, S.A.",Directed,281,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Minho Inovação e Internacionalização,"TOP RESEARCH, S.A.",Directed,282,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Minho Inovação e Internacionalização,"WATT-IS, S.A.",Directed,283,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Minho Inovação e Internacionalização,WISE CONNECT S.A.,Directed,284,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Minho Inovação e Internacionalização,"DOCTORGUMMY, LDA",Directed,285,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Minho Inovação e Internacionalização,"ADDVOLT, S.A.",Directed,286,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Minho Inovação e Internacionalização,"BIOMODE 2, S.A.",Directed,287,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Minho Inovação e Internacionalização,"MOBIQUEUE, S.A.",Directed,288,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Minho Inovação e Internacionalização,FÓRMULA DA AVÓ - LDA,Directed,289,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
Fundo de Capital de Risco Portugal Ventures Valor 2,"MUZZLEY, S.A.",Directed,290,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
Fundo de Capital de Risco Portugal Ventures Valor 2,"BYCLOSURE, S.A.",Directed,291,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
Fundo de Capital de Risco Portugal Ventures Valor 2,"ALTURA PUBLISHING, S.A.",Directed,292,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
Fundo de Capital de Risco Portugal Ventures Valor 2,"ADFAMILIES PUBLICIDADE, S.A.",Directed,293,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
Fundo de Capital de Risco Portugal Ventures Valor 2,"IMMUNETHEP, S.A.",Directed,294,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR ASK Capital,"TURFLYNX, LDA",Directed,295,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ASK Capital,"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA",Directed,296,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ASK Capital,"ALTAKITIN, S.A.",Directed,297,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR ASK Capital,"BABYBOOK, S.A.",Directed,298,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR ASK Capital,"GREENFIBER TECH, S.A.",Directed,299,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
"SharkAB ­ Consultores, Lda","CELL2B - ADVANCED THERAPEUTICS, S.A.",Directed,300,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
Magnum Capital Partners,"CELL2B - ADVANCED THERAPEUTICS, S.A.",Directed,301,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Busy Angels, SGPS","SAKPROJECT INTERNATIONAL, S.A",Directed,302,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Busy Angels, SGPS","ZUVI NOVA, S.A.",Directed,303,,"<[2011.0, Infinity]>",1.0,SPV´s,Investment,2011,
"Busy Angels, SGPS","YOUNGSTORIES, S.A.",Directed,304,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Busy Angels, SGPS","WEBANKOR, S.A.",Directed,305,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Busy Angels, SGPS","XHOCKWARE, S.A.",Directed,306,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"Busy Angels, SGPS","LASERLEAP TECHNOLOGIES,S.A.",Directed,307,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Busy Angels, SGPS","ICLIO, S.A.",Directed,308,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"Busy Angels, SGPS","LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",Directed,309,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Busy Angels, SGPS","LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",Directed,310,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Busy Angels, SGPS","FASTINOV, S.A.",Directed,311,,"<[2015.0, Infinity]>",1.0,SPV´s,Investment,2015,
"Busy Angels, SGPS","FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",Directed,312,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Busy Angels, SGPS","FABER VENTURES, S.A.",Directed,313,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Gegnum ­Gestão e Investimentod, lda","BIOMODE 2, S.A.",Directed,314,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"Intercapital ­Investimento e Gestão de Activos, S.A.","PLUX - WIRELESS BIOSIGNALS, S.A.",Directed,315,,"<[2011.0, Infinity]>",1.0,SPV´s,Investment,2011,
"Intercapital ­Investimento e Gestão de Activos, S.A.","CHANGING EXPERIENCE, S.A.",Directed,316,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Intercapital ­Investimento e Gestão de Activos, S.A.","BIOMIMETX,S.A.",Directed,317,,"<[2015.0, Infinity]>",1.0,SPV´s,Investment,2015,
"Binteractive, Lda","AUGRPUBLISHER, S.A",Directed,318,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"Faber Investments,SGPS","ALTURA PUBLISHING, S.A.",Directed,319,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
BrainInvest,"5ENSESINFOOD, S.A.",Directed,320,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"IA - FCI Ciências da Vida SGPS, SA","5ENSESINFOOD, S.A.",Directed,321,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"IA - FCI Ciências da Vida SGPS, SA","BIOMODE 2, S.A.",Directed,322,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"Tagus Innovation for Growth SGPS, SA","FABER VENTURES, S.A.",Directed,323,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"TEX Risco, SGPS, SA","ECOFOOT, S.A.",Directed,324,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"A2B, SGPS","EQUIGERMINAL, S.A.",Directed,325,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Capital Disperso, LDA","DOCTORGUMMY, LDA",Directed,326,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
Vallis Sustainable Investments I,"DOCTORGUMMY, LDA",Directed,327,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
Critical SGPS (holding),"WFSW, S.A.",Directed,328,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
Critical SGPS (holding),CRITICAL LINKS S.A.,Directed,329,,"<[2007.0, Infinity]>",1.0,SPV´s,Investment,2007,
"Fast Sharks Invest, LDA","DOCTORGUMMY, LDA",Directed,330,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"The Edge, SGPS S.A","CHIC BY CHOICE, S.A.",Directed,331,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"SMARTEQUITY SGPS, LDA","CHANGING EXPERIENCE, S.A.",Directed,332,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Vallis ­ SGPS, S.A.",Vallis Sustainable Investments I,Directed,333,,"<[2011.0, Infinity]>",1.0,SPV´s,Management entity (or controlling entity),2011,
"Vallis ­ SGPS, S.A.","CELL2B - ADVANCED THERAPEUTICS, S.A.",Directed,334,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Shilling Capital Partners, SGPS, Lda","YOUNGSTORIES, S.A.",Directed,335,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Shilling Capital Partners, SGPS, Lda",UNIPLACES LIMITED,Directed,336,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Shilling Capital Partners, SGPS, Lda","UNBABEL, INC.",Directed,337,,"<[2014.0, Infinity]>",1.0,SPV´s,Investment,2014,
"Shilling Capital Partners, SGPS, Lda","UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",Directed,338,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Shilling Capital Partners, SGPS, Lda","CELL2B - ADVANCED THERAPEUTICS, S.A.",Directed,339,,"<[2012.0, Infinity]>",1.0,SPV´s,Investment,2012,
"Shilling Capital Partners, SGPS, Lda","FABER VENTURES, S.A.",Directed,340,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"VENIAM, INC.","VENIAM, UNIPESSOAL LDA",Directed,341,,"<[2012.0, Infinity]>",1.0,Targeted companies (startups),Management entity (or controlling entity),2012,
UNIPLACES LIMITED,"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",Directed,342,,"<[2012.0, Infinity]>",1.0,Targeted companies (startups),Investment,2012,
"YDREAMS - INFORMÁTICA, S.A.","YD YNVISIBLE, S.A.",Directed,343,,"<[2013.0, Infinity]>",1.0,Targeted companies (startups),Investment,2013,
Brains2Market,"ZUVI NOVA, S.A.",Directed,344,,"<[2011.0, Infinity]>",1.0,SPV´s,Investment,2011,
"Talent Minds,Lda","ZARPH, S.A.",Directed,345,,"<[2013.0, Infinity]>",1.0,SPV´s,Investment,2013,
"Caixa Capital SCR, SA",FCR ISTART I,Directed,346,,"<[2011.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,VC Fundraising,2011,
"Caixa Capital SCR, SA",FCR F-HITEC,Directed,347,,"<[2008.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,VC Fundraising,2008,
"Caixa Capital SCR, SA",FCR Empreender Mais,Directed,348,,"<[2009.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,VC Fundraising,2009,
"Caixa Capital SCR, SA",FCR Caixa Tech Transfer Accelerator Ventures,Directed,349,,"<[2015.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,VC Fundraising,2015,
"Caixa Capital SCR, SA","SMARTWATT - ENERGY SERVICES, S.A.",Directed,350,,"<[2009.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,Investment,2009,
"Caixa Capital SCR, SA",Orankl,Directed,351,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,Investment,2014,
"Caixa Capital SCR, SA",QAMINE LIMITED,Directed,352,,"<[2015.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s,Investment,2015,
