Source,Target,Type,id,label,timeset,weight,from type,edge,starting date,ending date
FCR Fast Change,"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",Directed,104,,"<[2006.0, Infinity]>",1.0,Venture Capital Funds,Investment,2006,
FCR Fast Change,"FLUIDINOVA, S.A.",Directed,105,,"<[2005.0, Infinity]>",1.0,Venture Capital Funds,Investment,2005,
FCR Fast Change,"GUESTCENTRIC SYSTEMS, S.A.",Directed,106,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR Revitalizar Centro,"CELL2B - ADVANCED THERAPEUTICS, S.A.",Directed,107,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Revitalizar Centro,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",Directed,108,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Portugal Ventures ACTEC II,"TOP RESEARCH, S.A.",Directed,109,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures ACTEC II,THELIAL TECHNOLOGIES S.A.,Directed,110,,"<[2010.0, Infinity]>",1.0,Venture Capital Funds,Investment,2010,
FCR Portugal Ventures ACTEC II,"PERCEIVE3D, S.A.",Directed,111,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures ACTEC II,"POSSIBLE ANSWER , S.A",Directed,112,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures ACTEC II,"ZARPH, S.A.",Directed,113,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures ACTEC II,"CHANGING EXPERIENCE, S.A.",Directed,114,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures ACTEC II,BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,Directed,115,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures ACTEC II,"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.",Directed,116,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Biocant,"TREAT U, S.A.",Directed,117,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Biocant,"PEEK HEALTH, S.A.",Directed,118,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Biocant,"PERCEIVE3D, S.A.",Directed,119,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Biocant,"CBRA GENOMICS, S.A.",Directed,120,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Biocant,"IMMUNETHEP, S.A.",Directed,121,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Portugal Ventures Biocant,"LUZITIN, S.A.",Directed,122,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Portugal Ventures Biocant,GENE PREDIT S.A.,Directed,123,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Novabase Inovação e Internacionalização,"SMARTGEO, SOLUTIONS, LDA",Directed,124,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Novabase Inovação e Internacionalização,"POWER DATA, LDA",Directed,125,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Novabase Inovação e Internacionalização,"POWERGRID, LDA",Directed,126,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Novabase Inovação e Internacionalização,"RADICAL INNOVATION, LDA",Directed,127,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Novabase Inovação e Internacionalização,"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",Directed,128,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Novabase Inovação e Internacionalização,"CITY PULSE, LDA",Directed,129,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Novabase Inovação e Internacionalização,"BRIGHT INNOVATION, LDA",Directed,130,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Novabase Inovação e Internacionalização,"DTV RESEARCH, UNIPESSOAL LDA",Directed,131,,"<[2012.0, 2014.0]>",1.0,Venture Capital Funds,Investment,2012,2014
FCR Novabase Inovação e Internacionalização,"LIVIAN TECHNOLOGIES, LDA",Directed,132,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Critical Ventures I,"RETMARKER, S.A.",Directed,133,,"<[2011.0, Infinity]>",1.0,Venture Capital Funds,Investment,2011,
FCR Critical Ventures I,"BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.",Directed,134,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Critical Ventures I,"CBRA GENOMICS, S.A.",Directed,135,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
