Taguspark, SA;FCR ISTART I
CRITICAL MANUFACTURING, S.A.
CRITICAL MATERIALS, S.A.
CRIVO INVESTIGAÇÃO APLICADA, S.A.
CSIDE - SOLUÇÕES INTELIGENTES, S.A.
CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.
BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.
CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.
BYCLOSURE, S.A.
CBRA GENOMICS, S.A.
CELL2B - ADVANCED THERAPEUTICS, S.A.
CHANGING EXPERIENCE, S.A.
CEV, S.A.
CHIC BY CHOICE, S.A.
CITY PULSE, LDA
FCR Portugal Ventures Indústrias Criativas;GLEAM, S.A.;GETSOCIAL, S.A.;GLOBAL INPAKT, S.A.;GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO;IM3DICAL, S.A.;NUTRI VENTURES CORPORATION - NVC S.A.;TUIZZI, S.A.;SCIENCE4YOU, S.A.
FCR Portugal Ventures Global 2
FCR Portugal Ventures Finicia;SCIENCE4YOU, S.A.
FCR Portugal Global Ventures
FCR Novabase Capital;FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.;POWER DATA, LDA
FCR InovCapital;GENE PREDIT S.A.;KINEMATIX SENSE, S.A.
FCR Change Partners I;FCR Fast Change
FCR F-HITEC
Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”);FCR Beta Early Stages
Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”);FCR Beta Early Stages
FCR Portugal Ventures Turismo Inovação;FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.;FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.;MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO;ICLIO, S.A.;WEDELIVERAWESOMEAPPS, S.A.;MYGON, S.A.
FCR Beta Ciências da Vida;HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.;EQUIGERMINAL, S.A.;MAGNOMICS, S.A.;NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.
FCR ISTART I;HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.;EQUIGERMINAL, S.A.;FASTINOV, S.A.;MUZZLEY, S.A.;LASERLEAP TECHNOLOGIES,S.A.;ECOFOOT, S.A.;QAMINE PORTUGAL, S.A;QAMINE LIMITED;SAKPROJECT INTERNATIONAL, S.A
FCR PME / Novo Banco;EPEDAL, SGPS S.A.
FCR Fast Change;GUESTCENTRIC SYSTEMS, S.A.;FLUIDINOVA, S.A.;HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.;CRITICAL LINKS S.A.;CONVERDE, S.A.;CEV, S.A.;STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA
FCR Revitalizar Centro;FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.;CELL2B - ADVANCED THERAPEUTICS, S.A.
FCR Portugal Ventures ACTEC II;MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.;BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.;CHANGING EXPERIENCE, S.A.;ZARPH, S.A.;POSSIBLE ANSWER , S.A;PERCEIVE3D, S.A.;THELIAL TECHNOLOGIES S.A.;TOP RESEARCH, S.A.
FCR Portugal Ventures Biocant;GENE PREDIT S.A.;LUZITIN, S.A.;IMMUNETHEP, S.A.;CBRA GENOMICS, S.A.;PERCEIVE3D, S.A.;PEEK HEALTH, S.A.;TREAT U, S.A.
FCR Novabase Inovação e Internacionalização;LIVIAN TECHNOLOGIES, LDA;DTV RESEARCH, UNIPESSOAL LDA;BRIGHT INNOVATION, LDA;CITY PULSE, LDA;WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.;RADICAL INNOVATION, LDA;POWERGRID, LDA;POWER DATA, LDA;SMARTGEO, SOLUTIONS, LDA
FCR Critical Ventures I;CRITICAL MATERIALS, S.A.;CBRA GENOMICS, S.A.;BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.;RETMARKER, S.A.
FCR Portugal Ventures Valor;BIOSURFIT S.A.
ALTURA PUBLISHING, S.A.
AMANHÃ GLOBAL, S.A.
ALLIS UBBO INFORMATION SYSTEMS, LDA
FABER VENTURES, S.A.;GETSOCIAL, S.A.;GLEAM, S.A.;LIQUID DATA INTELLIGENCE, S.A.;ALTURA PUBLISHING, S.A.;CHIC BY CHOICE, S.A.;YOUNGSTORIES, S.A.;QAMINE LIMITED;QAMINE PORTUGAL, S.A;PASSWORKS, S.A.;UNBABEL, INC.
ALTAKITIN, S.A.
ALFAMA INC.;ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA
ADVANCED CYCLONE SYSTEMS, S.A.
ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA
ADDVOLT, S.A.
ADFAMILIES PUBLICIDADE, S.A.
5ENSESINFOOD, S.A.
A123Systems
ABYSSAL, S.A.
FCR FAI Energias;WINDPLUS, S.A.
Fundo de Capital de Risco Portugal Ventures;MAGNOMICS, S.A.;MAGNOMICS, S.A.
Oxy Capital Fundo Mezzanine;NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.
FCR Portugal Ventures;PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.
FCR Revitalizar Norte;NMUSIC S.A.
Fundo de Capital de Risco para Investidores Qualificados PME Investimentos­ TIEC;BIOSURFIT S.A.
FCR ESV III;MAGPOWER - SOLUÇÕES DE ENERGIA S.A.;MUZZLEY, S.A.;MUZZLEY, S.A.;MUZZLEY, S.A.;JDCPhosphate;ADVANCED CYCLONE SYSTEMS, S.A.;A123Systems;Current;DOMATICA ­ GLOBAL SOLUTIONS, S.A.;Watson Brown;QAMINE PORTUGAL, S.A;Petra Systems;NUTRIGREEN, S.A.;Ubiquity Global Services;Spectrum Bridge;SafetyPay
FCR Fast Change II;EXOGENUS THERAPEUTICS, S.A.;BIOMODE 2, S.A.;5ENSESINFOOD, S.A.;CONVERDE, S.A.;EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.;CELL2B - ADVANCED THERAPEUTICS, S.A.;SWORD HEALTH, S.A;STREAMBOLICO S.A.
Fundo de Capital de Risco Portugal Ventures Global 2;BICA STUDIOS, S.A.;BRIGHTWIZARD, S.A;SCIENCE4YOU, S.A.
FCR Empreender Mais;GUESTCENTRIC SYSTEMS, S.A.;MOVVO, S.A.;BIOSURFIT S.A.;CHANGING EXPERIENCE, S.A.;NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.;STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.;FCR Portugal Ventures Universitas
FCR Caixa Tech Transfer Accelerator Ventures;BIOMIMETX,S.A.;CHANGING EXPERIENCE, S.A.;PLUX - WIRELESS BIOSIGNALS, S.A.
FCR Beta Early Stages;BIOSURFIT S.A.;CRIVO INVESTIGAÇÃO APLICADA, S.A.
Fundo de Sindicação de Capital de Risco PME ­IAPMEI;BIOSURFIT S.A.
FCR Capital Criativo I;GO BIZ, VIAGENS E TURISMO, S.A.;ISA - INTELLIGENT SENSING ANYWHERE, S.A.;LIVE CONTENT S.A;BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.;CORTEX INTELLIGENCE TECNOLOGIA, LDA;E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.;CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.;USC INTERNACIONAL, S.A.
FCR ESV Inovação & Internacionalização;FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.;LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.;HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.;BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.;BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.;NUTRI VENTURES CORPORATION - NVC S.A.;STOCK BEATS, S.A.;SAKPROJECT INTERNATIONAL, S.A
Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento;BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.
Fundo de Capital de Risco AICEP Capital Global III;BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.
Fundo de Capital de Risco Dinamização Turística;EXCITING SPACE, S.A.;INDIE CAMPERS, S.A.;BGUESTNOW, S.A.
FCR Portugal Ventures Early Stages;GREENFIBER TECH, S.A.;MORNING HEROES S.A.;LIQUID DATA INTELLIGENCE, S.A.;AMANHÃ GLOBAL, S.A.;CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.;WEBANKOR, S.A.;WHIZZTEK, S.A. - EM LIQUIDAÇÃO;YOUNGSTORIES, S.A.;PETSYS ELECTRONICS - MEDICAL PET DETECTORS,;STREAMBOLICO S.A.
FCR Portugal Ventures Internacionalização;GRAPHENEST, S.A.;EPEDAL, SGPS S.A.;MOODOPTIC, S.A.;KINEMATIX SENSE, S.A.;KINEMATIX SENSE, S.A.;KINEMATIX SENSE, S.A.;JSCRAMBLER, S.A.;BEYONDEVICES, S.A.;BLOOMERS, S.A.;APTOIDE, S.A.;WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.;NUTRI VENTURES CORPORATION - NVC S.A.;TUIZZI, S.A.;SHIFTFORWARD, S.A.;SCIENCE4YOU, S.A.
FCR Portugal Ventures Universitas;FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.;BABYBOOK, S.A.;APTOIDE, S.A.;YOUNGSTORIES, S.A.;PEPFEED, S,A;PETSYS ELECTRONICS - MEDICAL PET DETECTORS,;PASSWORKS, S.A.
FCR ESV II;GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.;FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.;HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.;Iosil Energy;AUGRPUBLISHER, S.A;AquaSpy;Atraverda;COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.;YD YNVISIBLE, S.A.;YDREAMS - INFORMÁTICA, S.A.;Prepaid Media;OUTSYSTEMS - SOFTWARE EM REDE, S.A.;Oceanlinx;Ophtalmopharma;Nanosolar;TxVia;Ultracell;Superbac;SOUSACAMP, SGPS S.A.
FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores;ASINUS ATLANTICUS, S.A.
FCR ASK Celta;GUM CHEMICAL SOLUTIONS, S.A.;ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA;PETAPILOT, S.A.;TORBEL, S.A.
FCR PV ACTEC;LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.;BIOMODE - BIOMOLECULAR DETERMINATION, S.A.;ABYSSAL, S.A.;XHOCKWARE, S.A.;PHARMA73 S.A.;OMNIFLOW, S.A;FCR Portugal Ventures ACTEC II
FCR Minho Inovação e Internacionalização;FÓRMULA DA AVÓ - LDA;MOBIQUEUE, S.A.;BIOMODE 2, S.A.;ADDVOLT, S.A.;DOCTORGUMMY, LDA;WISE CONNECT S.A.;WATT-IS, S.A.;TOP RESEARCH, S.A.;SPHERE ULTRAFAST PHOTONICS, S.A.
Fundo de Capital de Risco Portugal Ventures Valor 2;IMMUNETHEP, S.A.;ADFAMILIES PUBLICIDADE, S.A.;ALTURA PUBLISHING, S.A.;BYCLOSURE, S.A.;MUZZLEY, S.A.
FCR ASK Capital;GREENFIBER TECH, S.A.;BABYBOOK, S.A.;ALTAKITIN, S.A.;ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA;TURFLYNX, LDA
SharkAB ­ Consultores, Lda;CELL2B - ADVANCED THERAPEUTICS, S.A.
Magnum Capital Partners;CELL2B - ADVANCED THERAPEUTICS, S.A.
Busy Angels, SGPS;FABER VENTURES, S.A.;FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.;FASTINOV, S.A.;LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.;LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.;ICLIO, S.A.;LASERLEAP TECHNOLOGIES,S.A.;XHOCKWARE, S.A.;WEBANKOR, S.A.;YOUNGSTORIES, S.A.;ZUVI NOVA, S.A.;SAKPROJECT INTERNATIONAL, S.A
Gegnum ­Gestão e Investimentod, lda;BIOMODE 2, S.A.
Intercapital ­Investimento e Gestão de Activos, S.A.;BIOMIMETX,S.A.;CHANGING EXPERIENCE, S.A.;PLUX - WIRELESS BIOSIGNALS, S.A.
Binteractive, Lda;AUGRPUBLISHER, S.A
Faber Investments,SGPS;ALTURA PUBLISHING, S.A.
BrainInvest;5ENSESINFOOD, S.A.
IA - FCI Ciências da Vida SGPS, SA;BIOMODE 2, S.A.;5ENSESINFOOD, S.A.
ZUVI NOVA, S.A.
Tagus Innovation for Growth SGPS, SA;FABER VENTURES, S.A.
TEX Risco, SGPS, SA;ECOFOOT, S.A.
A2B, SGPS;EQUIGERMINAL, S.A.
Capital Disperso, LDA;DOCTORGUMMY, LDA
Vallis Sustainable Investments I;DOCTORGUMMY, LDA
Critical SGPS (holding);CRITICAL LINKS S.A.;WFSW, S.A.
Fast Sharks Invest, LDA;DOCTORGUMMY, LDA
The Edge, SGPS S.A;CHIC BY CHOICE, S.A.
SMARTEQUITY SGPS, LDA;CHANGING EXPERIENCE, S.A.
Vallis ­ SGPS, S.A.;CELL2B - ADVANCED THERAPEUTICS, S.A.;Vallis Sustainable Investments I
Shilling Capital Partners, SGPS, Lda;FABER VENTURES, S.A.;CELL2B - ADVANCED THERAPEUTICS, S.A.;UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA;UNBABEL, INC.;UNIPLACES LIMITED;YOUNGSTORIES, S.A.
WEBANKOR, S.A.
WFSW, S.A.
WEDELIVERAWESOMEAPPS, S.A.
Watson Brown
WATCHFUL SOFTWARE
WATT-IS, S.A.
VENIAM, INC.;VENIAM, UNIPESSOAL LDA
VENIAM, UNIPESSOAL LDA
UNIPLACES LIMITED;UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA
USC INTERNACIONAL, S.A.
UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA
YOUNGSTORIES, S.A.
ZARPH, S.A.
XHOCKWARE, S.A.
YD YNVISIBLE, S.A.
YDREAMS - INFORMÁTICA, S.A.;YD YNVISIBLE, S.A.
WISE CONNECT S.A.
WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.
WIZI TO FIND, S.A.
WHIZZTEK, S.A. - EM LIQUIDAÇÃO
WINDPLUS, S.A.
Brains2Market;ZUVI NOVA, S.A.
Talent Minds,Lda;ZARPH, S.A.
Caixa Capital SCR, SA;EXOGENUS THERAPEUTICS, S.A.;Farfetch UK Limited;ALLIS UBBO INFORMATION SYSTEMS, LDA;D-ORBIT PT, LDA;UNIPLACES LIMITED;VENIAM, INC.;UNBABEL, INC.;FCR Empreender Mais;FCR Caixa Tech Transfer Accelerator Ventures;QAMINE LIMITED;Orankl;SMARTWATT - ENERGY SERVICES, S.A.;FCR Caixa Tech Transfer Accelerator Ventures;FCR Empreender Mais;FCR F-HITEC;FCR ISTART I
Portugal Ventures SCR, SA;FCR PV ACTEC;FCR Portugal Ventures Biocant;FCR Portugal Ventures Indústrias Criativas;FCR Portugal Ventures Finicia;FCR Portugal Global Ventures;FCR Critical Ventures I;FCR Portugal Ventures Early Stages;FCR Portugal Ventures Internacionalização;FCR Portugal Ventures Universitas;Fundo de Capital de Risco Portugal Ventures Global 2;FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores;FCR Portugal Ventures ACTEC II;FCR Portugal Global Ventures;FCR Portugal Ventures Global 2;FCR Portugal Ventures Finicia;FCR Portugal Ventures Early Stages;FCR Portugal Ventures Biocant;FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores;FCR InovCapital;PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A;FCR Portugal Ventures Turismo Inovação;FCR Portugal Ventures Universitas;FCR Portugal Ventures Indústrias Criativas;FCR Portugal Ventures Internacionalização;Fundo de Capital de Risco Dinamização Turística;SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO;OMNIFLOW, S.A;OUTSYSTEMS - SOFTWARE EM REDE, S.A.;PHARMA73 S.A.;Principle Power Unipessoal LDA;ZUVI NOVA, S.A.;XHOCKWARE, S.A.;WIZI TO FIND, S.A.;Code Place (Songvice B.V.);CHIC BY CHOICE, S.A.;DISPLAX, S.A.;ENEIDA, WIRELESS & SENSORS, S.A.;CRITICAL LINKS S.A.;CSIDE - SOLUÇÕES INTELIGENTES, S.A.;ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA;ABYSSAL, S.A.;BIOMODE - BIOMOLECULAR DETERMINATION, S.A.;BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.;BitSight Technologies;BIOSURFIT S.A.;INVINE;MAGNOMICS, S.A.;LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.;GUESTCENTRIC SYSTEMS, S.A.;GENIBET BIOPHARMACEUTICALS S.A.;FOLLOW INSPIRATION, S.A.;FOLLOWPRICE, S.A.
BrainCapital;SWORD HEALTH, S.A
New Ventures SGPS, SA;SWORD HEALTH, S.A
FJR, SGPS, S.A;STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.
Agro Consultores,Lda;ZARPH, S.A.
A. Silva Matos II - Investimentos, SA;WINDPLUS, S.A.
IA - FCI - TICE;TUIZZI, S.A.
ES Ventures SCR, SA;FEEDZAI, INC.;FCR ISTART I;FCR F-HITEC;FCR ESV Inovação & Internacionalização;FCR ESV III;FCR ESV II
Capital Criativo SCR, SA;FCR Capital Criativo I
Haitong Capital SCR SA;FCR PME / Novo Banco
Change Partners SCR, SA;FCR Fast Change;FCR Fast Change II;FCR Fast Change
2BPARTNER SCR, SA;FCR Minho Inovação e Internacionalização
Novabase Capital SCR, SA;COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.;FCR Novabase Capital;FCR Novabase Inovação e Internacionalização;FCR Novabase Inovação e Internacionalização;FCR Novabase Capital;FCR ISTART I
Naves ­Sociedade de Capital de Risco, S.A.;BABYBOOK, S.A.
BUSY ANGELS, SCR, S.A;Busy Angels, SGPS
ISQ SCR, SA;FCR ASK Celta;FCR ASK Capital;Fundo ISQ Capital
Beta Capital SCR, SA;GENE PREDIT S.A.;FCR Beta Ciências da Vida;FCR Beta Early Stages
Critical Ventures, SCR, SA;CRITICAL MANUFACTURING, S.A.;CRITICAL LINKS S.A.;WATCHFUL SOFTWARE;WFSW, S.A.;Critical SGPS (holding);FCR Critical Ventures I
BIOCANT VENTURES LDA;GENE PREDIT S.A.;MATERA, LDA;THELIAL TECHNOLOGIES S.A.
EV Tecsaúde, SGPS, SA;FÓRMULA DA AVÓ - LDA
Pathena, SGPS, S.A.;IM3DICAL, S.A.;Pathena SICAR;NMUSIC S.A.;STOCK BEATS, S.A.;STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.
Venture Catalysts, Lda;IMMUNETHEP, S.A.
Dueto SGPS;MOVVO, S.A.
BLUE BUSINESS, SGPS, SA;IMOBILEMAGIC - MOBILE EXPERIENCES, LDA
Sail Away, Lda;FABER VENTURES, S.A.
Eggnest, SGPS, S.A.;FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.;PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.
PNV Capital;GLOBAL INPAKT, S.A.;FABER VENTURES, S.A.;MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO;MAGNOMICS, S.A.;WEBANKOR, S.A.;ZUVI NOVA, S.A.
TIC Risco, SGPS, SA;FOLLOW INSPIRATION, S.A.
Best Horizon­SGPS, Unipessoal Lda.;FOLLOWPRICE, S.A.
RedStar;NUTRI VENTURES CORPORATION - NVC S.A.
Skybusiness, S.A.;PEEK HEALTH, S.A.
Seedcamp;QAMINE LIMITED
Sequoia Saúde e Tecnologia;RETMARKER, S.A.
Daninves, SGPS, S.A.;STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.
SONAE IM;MOVVO, S.A.
EntreParentesis ­SGPS,S.A.;MYGON, S.A.
